"","date","Massa de rendimento nominal","Massa de rendimento real"
"1",2012-03-01,121489,235245
"2",2012-04-01,123327,237781
"3",2012-05-01,123965,238061
"4",2012-06-01,124884,238959
"5",2012-07-01,126088,240549
"6",2012-08-01,127296,242143
"7",2012-09-01,128112,242550
"8",2012-10-01,128974,242902
"9",2012-11-01,129826,243043
"10",2012-12-01,130433,242563
"11",2013-01-01,131498,242725
"12",2013-02-01,132721,243154
"13",2013-03-01,134012,243959
"14",2013-04-01,135639,245604
"15",2013-05-01,136998,246918
"16",2013-06-01,139089,249749
"17",2013-07-01,140734,252191
"18",2013-08-01,142248,254444
"19",2013-09-01,142924,255096
"20",2013-10-01,144243,256415
"21",2013-11-01,144931,256369
"22",2013-12-01,144998,254747
"23",2014-01-01,145304,253609
"24",2014-02-01,147514,255681
"25",2014-03-01,150071,258312
"26",2014-04-01,151546,258906
"27",2014-05-01,152691,259112
"28",2014-06-01,152959,258256
"29",2014-07-01,153053,257664
"30",2014-08-01,154505,259529
"31",2014-09-01,156144,261538
"32",2014-10-01,157979,263520
"33",2014-11-01,158063,262332
"34",2014-12-01,159125,262604
"35",2015-01-01,160189,262162
"36",2015-02-01,160803,260375
"37",2015-03-01,162227,259442
"38",2015-04-01,164024,259502
"39",2015-05-01,164791,258342
"40",2015-06-01,166585,259210
"41",2015-07-01,166627,257417
"42",2015-08-01,166684,256087
"43",2015-09-01,167602,256311
"44",2015-10-01,168307,256028
"45",2015-11-01,168438,254183
"46",2015-12-01,169406,253261
"47",2016-01-01,170809,252652
"48",2016-02-01,170658,249832
"49",2016-03-01,172015,249666
"50",2016-04-01,172103,248175
"51",2016-05-01,174160,249621
"52",2016-06-01,173334,246973
"53",2016-07-01,173818,246325
"54",2016-08-01,175640,247860
"55",2016-09-01,175606,246974
"56",2016-10-01,176464,247540
"57",2016-11-01,177576,248671
"58",2016-12-01,178928,249955
"59",2017-01-01,179105,249489
"60",2017-02-01,179191,248791
"61",2017-03-01,179969,249089
"62",2017-04-01,180271,248909
"63",2017-05-01,181401,249872
"64",2017-06-01,181978,250497
"65",2017-07-01,182961,251567
"66",2017-08-01,183579,252248
"67",2017-09-01,185449,254300
"68",2017-10-01,187382,256264
"69",2017-11-01,189604,258522
"70",2017-12-01,190910,259313
"71",2018-01-01,191452,259192
"72",2018-02-01,191729,258699
"73",2018-03-01,191101,257269
"74",2018-04-01,192527,258663
"75",2018-05-01,193398,259216
"76",2018-06-01,194935,259659
"77",2018-07-01,196501,260047
"78",2018-08-01,199189,262336
"79",2018-09-01,200002,262779
"80",2018-10-01,201612,264147
"81",2018-11-01,203047,265377
"82",2018-12-01,204463,266867
"83",2019-01-01,204783,267075
"84",2019-02-01,205201,266834
"85",2019-03-01,205231,265558
"86",2019-04-01,206742,265947
"87",2019-05-01,207426,265528
"88",2019-06-01,208790,266635
"89",2019-07-01,209016,266629
"90",2019-08-01,210457,268197
"91",2019-09-01,211263,268998
"92",2019-10-01,213719,271970
"93",2019-11-01,216040,274391
"94",2019-12-01,216981,273945
"95",2020-01-01,218066,273592
"96",2020-02-01,218402,272556
"97",2020-03-01,216999,270335
"98",2020-04-01,212275,264451
"99",2020-05-01,207076,258508
"100",2020-06-01,203421,254301
"101",2020-07-01,202627,253102
"102",2020-08-01,202411,252114
"103",2020-09-01,205410,254802
"104",2020-10-01,208147,256697
"105",2020-11-01,210777,257872
"106",2020-12-01,211395,255980
"107",2021-01-01,212561,255268
"108",2021-02-01,212714,253364
"109",2021-03-01,214284,253510
"110",2021-04-01,214284,251730
"111",2021-05-01,217218,253423
"112",2021-06-01,218136,253075
"113",2021-07-01,221028,254464
"114",2021-08-01,222212,253834
"115",2021-09-01,223549,252814
"116",2021-10-01,225047,251757
"117",2021-11-01,227032,251188
"118",2021-12-01,229394,251373
"119",2022-01-01,232594,253032
"120",2022-02-01,234104,252759
"121",2022-03-01,237673,253925
"122",2022-04-01,242948,256401
"123",2022-05-01,249849,260965
"124",2022-06-01,255707,265162
"125",2022-07-01,260699,269975
"126",2022-08-01,263549,273293
"127",2022-09-01,266731,277860
"128",2022-10-01,269497,280797
"129",2022-11-01,272998,283780
"130",2022-12-01,274346,283649
"131",2023-01-01,275134,283018
"132",2023-02-01,275457,281491
"133",2023-03-01,277194,281330
"134",2023-04-01,278821,280958
"135",2023-05-01,280914,281614
"136",2023-06-01,284148,284148
