"","date","Rendimento nominal","Rendimento real"
"1",2012-03-01,1424,2757
"2",2012-04-01,1435,2767
"3",2012-05-01,1437,2761
"4",2012-06-01,1446,2767
"5",2012-07-01,1458,2781
"6",2012-08-01,1467,2790
"7",2012-09-01,1471,2785
"8",2012-10-01,1477,2781
"9",2012-11-01,1484,2779
"10",2012-12-01,1491,2772
"11",2013-01-01,1508,2784
"12",2013-02-01,1528,2800
"13",2013-03-01,1547,2816
"14",2013-04-01,1559,2823
"15",2013-05-01,1567,2825
"16",2013-06-01,1586,2848
"17",2013-07-01,1600,2866
"18",2013-08-01,1613,2886
"19",2013-09-01,1617,2886
"20",2013-10-01,1628,2895
"21",2013-11-01,1630,2883
"22",2013-12-01,1628,2861
"23",2014-01-01,1637,2858
"24",2014-02-01,1665,2885
"25",2014-03-01,1695,2918
"26",2014-04-01,1707,2916
"27",2014-05-01,1715,2911
"28",2014-06-01,1715,2895
"29",2014-07-01,1716,2890
"30",2014-08-01,1733,2910
"31",2014-09-01,1744,2920
"32",2014-10-01,1758,2932
"33",2014-11-01,1754,2912
"34",2014-12-01,1765,2913
"35",2015-01-01,1782,2917
"36",2015-02-01,1799,2912
"37",2015-03-01,1822,2913
"38",2015-04-01,1837,2907
"39",2015-05-01,1846,2894
"40",2015-06-01,1865,2901
"41",2015-07-01,1865,2882
"42",2015-08-01,1867,2868
"43",2015-09-01,1874,2866
"44",2015-10-01,1877,2855
"45",2015-11-01,1878,2835
"46",2015-12-01,1886,2820
"47",2016-01-01,1912,2829
"48",2016-02-01,1921,2812
"49",2016-03-01,1946,2825
"50",2016-04-01,1949,2811
"51",2016-05-01,1967,2820
"52",2016-06-01,1959,2791
"53",2016-07-01,1970,2792
"54",2016-08-01,1996,2817
"55",2016-09-01,2001,2814
"56",2016-10-01,2009,2819
"57",2016-11-01,2017,2824
"58",2016-12-01,2032,2838
"59",2017-01-01,2045,2849
"60",2017-02-01,2058,2858
"61",2017-03-01,2077,2874
"62",2017-04-01,2072,2861
"63",2017-05-01,2074,2857
"64",2017-06-01,2068,2846
"65",2017-07-01,2071,2847
"66",2017-08-01,2069,2843
"67",2017-09-01,2084,2858
"68",2017-10-01,2097,2868
"69",2017-11-01,2113,2880
"70",2017-12-01,2122,2882
"71",2018-01-01,2137,2893
"72",2018-02-01,2152,2904
"73",2018-03-01,2156,2902
"74",2018-04-01,2167,2911
"75",2018-05-01,2173,2912
"76",2018-06-01,2183,2908
"77",2018-07-01,2190,2898
"78",2018-08-01,2209,2910
"79",2018-09-01,2205,2898
"80",2018-10-01,2214,2901
"81",2018-11-01,2222,2904
"82",2018-12-01,2238,2921
"83",2019-01-01,2253,2939
"84",2019-02-01,2268,2949
"85",2019-03-01,2270,2937
"86",2019-04-01,2271,2922
"87",2019-05-01,2266,2901
"88",2019-06-01,2272,2902
"89",2019-07-01,2269,2895
"90",2019-08-01,2281,2907
"91",2019-09-01,2283,2906
"92",2019-10-01,2301,2929
"93",2019-11-01,2316,2941
"94",2019-12-01,2323,2932
"95",2020-01-01,2342,2939
"96",2020-02-01,2357,2941
"97",2020-03-01,2381,2966
"98",2020-04-01,2407,2999
"99",2020-05-01,2442,3048
"100",2020-06-01,2476,3095
"101",2020-07-01,2507,3132
"102",2020-08-01,2511,3127
"103",2020-09-01,2523,3129
"104",2020-10-01,2500,3084
"105",2020-11-01,2494,3051
"106",2020-12-01,2482,3005
"107",2021-01-01,2496,2998
"108",2021-02-01,2495,2971
"109",2021-03-01,2519,2980
"110",2021-04-01,2507,2945
"111",2021-05-01,2522,2943
"112",2021-06-01,2498,2898
"113",2021-07-01,2494,2871
"114",2021-08-01,2478,2831
"115",2021-09-01,2459,2781
"116",2021-10-01,2449,2740
"117",2021-11-01,2444,2704
"118",2021-12-01,2447,2682
"119",2022-01-01,2489,2708
"120",2022-02-01,2511,2711
"121",2022-03-01,2548,2722
"122",2022-04-01,2569,2711
"123",2022-05-01,2613,2730
"124",2022-06-01,2652,2750
"125",2022-07-01,2693,2789
"126",2022-08-01,2713,2813
"127",2022-09-01,2737,2851
"128",2022-10-01,2754,2869
"129",2022-11-01,2787,2897
"130",2022-12-01,2808,2904
"131",2023-01-01,2835,2916
"132",2023-02-01,2853,2915
"133",2023-03-01,2880,2923
"134",2023-04-01,2891,2913
"135",2023-05-01,2901,2909
"136",2023-06-01,2921,2921
